dataid,building_type,city,pv,house_construction_year,total_square_footage,egauge_min_time,egauge_max_time,use,grid,gen
5218,Single-Family Home,Austin,yes,1986,2047,08/31/2012 19:00,12/31/2016 7:59,yes,yes,yes
5246,Single-Family Home,Austin,yes,2009,1994,05/02/2012 19:00,03/20/2016 4:59,yes,yes,yes
5275,Single-Family Home,Austin,yes,2007,2132,05/02/2012 19:00,12/31/2016 6:59,yes,yes,yes
5357,Single-Family Home,Austin,yes,2011,3225,09/27/2012 19:00,12/31/2016 5:59,yes,yes,yes
5395,Single-Family Home,Austin,yes,2008,1556,11/01/2012 19:00,10/30/2016 5:59,yes,yes,yes
5403,Single-Family Home,Austin,yes,2007,1720,05/22/2012 19:00,12/31/2016 6:59,yes,yes,yes
5438,Single-Family Home,Austin,yes,2008,2075,05/02/2012 1:00,08/30/2012 0:00,yes,yes,yes
5439,Single-Family Home,Austin,yes,2008,1544,05/02/2012 19:00,12/31/2016 5:32,yes,yes,yes
5450,Single-Family Home,Austin,yes,2008,2345,07/25/2015 0:00,12/31/2016 5:45,yes,yes,yes
5545,Single-Family Home,Austin,yes,2009,1994,07/01/2013 19:00,12/31/2016 2:59,yes,yes,yes
5615,Single-Family Home,Austin,yes,2009,2216,05/02/2012 19:00,12/31/2016 3:31,yes,yes,yes
5738,Single-Family Home,Austin,yes,2008,2843,05/02/2012 19:00,12/31/2016 6:59,yes,yes,yes
5749,Single-Family Home,Austin,yes,1992,3530,03/07/2015 0:00,12/31/2016 8:39,yes,yes,yes
5784,Single-Family Home,Austin,yes,2014,6408,06/06/2015 0:00,12/31/2016 7:59,yes,yes,yes
5785,Single-Family Home,Austin,yes,2007,1842,05/02/2012 19:00,12/31/2016 2:59,yes,yes,yes
5786,Single-Family Home,Austin,yes,1940,4354,09/11/2013 19:00,11/25/2015 5:59,yes,yes,yes
5796,Single-Family Home,Austin,yes,2007,1720,05/02/2012 19:00,12/31/2016 2:34,yes,yes,yes
5817,Single-Family Home,Austin,yes,2007,2001,05/02/2012 19:00,12/31/2015 0:00,yes,yes,yes
5874,Single-Family Home,Austin,yes,1955,1215,12/08/2012 18:00,12/31/2016 2:34,yes,yes,yes
5892,Single-Family Home,Austin,yes,2007,2122,05/02/2012 19:00,12/31/2016 5:56,yes,yes,yes
5921,Single-Family Home,Austin,yes,2008,2001,06/10/2014 0:00,12/31/2016 2:59,yes,yes,yes
5972,Single-Family Home,Austin,yes,2008,2843,10/18/2012 19:00,12/31/2016 6:59,yes,yes,yes
6061,Single-Family Home,Austin,yes,2009,3255,02/11/2014 18:00,12/31/2016 3:35,yes,yes,yes
6063,Single-Family Home,Austin,yes,2008,1842,07/16/2014 0:00,12/31/2016 2:59,yes,yes,yes
6121,Single-Family Home,Austin,yes,2010,2174,08/15/2012 19:00,12/31/2016 3:59,yes,yes,yes
6139,Single-Family Home,Austin,yes,1970,2361,09/15/2012 19:00,12/31/2016 2:59,yes,yes,yes
6248,Single-Family Home,Austin,yes,1989,2967,03/05/2015 0:00,12/31/2016 2:59,yes,yes,yes
6266,Single-Family Home,Austin,yes,2008,2345,05/02/2012 19:00,12/31/2016 7:38,yes,yes,yes
6348,Single-Family Home,Austin,yes,2013,2181,07/12/2014 0:00,12/31/2016 2:59,yes,yes,yes
6412,Single-Family Home,Austin,yes,1968,3877,11/09/2012 0:00,12/31/2016 8:59,yes,yes,yes
6423,Single-Family Home,Austin,yes,2008,1544,05/02/2012 19:00,12/31/2016 4:36,yes,yes,yes
6545,Single-Family Home,Austin,yes,2007,3459,05/02/2012 19:00,03/30/2014 0:00,yes,yes,yes
6643,Single-Family Home,Austin,yes,2008,2154,05/02/2012 19:00,12/31/2016 2:59,yes,yes,yes
