dataid,city,building_type,total_square_footage,house_construction_year,egauge_min_time,egauge_max_time
8047,Austin,Single-Family Home,3245.0,2009.0,2013-04-16 05:00:00,2014-04-07 05:00:00
8059,Austin,Single-Family Home,2006.0,2009.0,2014-08-23 05:00:00,2017-12-02 11:59:00
8084,Austin,Single-Family Home,2649.0,2008.0,2012-05-03 00:00:00,2017-12-02 09:59:00
8086,Austin,Single-Family Home,2919.0,2008.0,2014-01-14 00:00:00,2017-12-02 08:59:00
8092,Austin,Single-Family Home,1828.0,2006.0,2013-02-24 00:00:00,2017-12-01 12:59:00
8155,Austin,Single-Family Home,2471.0,2008.0,2012-05-03 00:00:00,2015-11-30 10:31:00
8156,Austin,Single-Family Home,2669.0,2008.0,2014-06-11 05:00:00,2017-11-14 08:59:00
8197,Austin,Single-Family Home,3951.5,1999.0,2013-09-29 00:00:00,2017-12-02 08:59:00
8236,Austin,Single-Family Home,1994.0,2008.0,2012-11-18 00:00:00,2017-12-02 11:59:00
8243,Austin,Single-Family Home,2216.0,2012.0,2014-06-21 00:00:00,2017-12-02 12:59:00
8419,Austin,Single-Family Home,2962.0,2009.0,2012-08-18 00:00:00,2017-12-02 13:37:00
8467,Austin,Single-Family Home,3165.0,2011.0,2013-04-22 00:00:00,2017-12-02 08:59:00
8597,Austin,Single-Family Home,2122.0,2008.0,2012-10-27 00:00:00,2014-10-21 23:59:00
8626,Austin,Single-Family Home,3959.0,2011.0,2012-05-16 00:00:00,2017-12-01 09:59:00
8645,Austin,Single-Family Home,1142.0,1981.0,2013-02-27 06:00:00,2017-12-02 10:59:00
8669,Austin,Single-Family Home,2919.0,2009.0,2012-07-20 15:31:00,2016-08-26 11:59:00
8741,Austin,Single-Family Home,1533.0,1953.0,2013-03-07 00:00:00,2016-09-14 12:59:00
8767,Austin,Single-Family Home,2240.0,2009.0,2014-03-14 05:00:00,2017-12-02 09:37:00
8829,Austin,Single-Family Home,2669.0,2008.0,2012-05-16 00:00:00,2017-12-02 10:33:00
8857,Austin,Single-Family Home,2559.0,1984.0,2015-02-20 06:00:00,2017-12-02 08:59:00
8872,Austin,Single-Family Home,1422.0,2008.0,2012-05-02 06:00:00,2013-06-10 05:59:00
8890,Austin,Single-Family Home,2194.0,2008.0,2012-05-03 00:00:00,2016-03-04 08:59:00
8967,Austin,Single-Family Home,2001.0,2007.0,2012-05-03 00:00:00,2017-12-02 12:59:00
8995,Austin,Single-Family Home,,,2014-08-08 05:00:00,2017-12-02 10:59:00
9001,Austin,Single-Family Home,2122.0,2007.0,2014-12-30 06:00:00,2017-12-02 08:59:00
9019,Austin,Single-Family Home,1613.0,1990.0,2012-09-21 00:00:00,2017-12-02 09:59:00
9052,Austin,Single-Family Home,2345.0,2008.0,2012-09-18 00:00:00,2017-12-02 10:59:00
9121,Austin,Single-Family Home,1981.0,2007.0,2012-09-18 00:00:00,2017-12-02 09:59:00
9134,Austin,Single-Family Home,2122.0,2007.0,2014-04-30 05:00:00,2017-12-02 09:46:00
9160,Austin,Single-Family Home,2310.0,2008.0,2012-05-03 00:00:00,2017-12-02 11:59:00
9235,Austin,Single-Family Home,2122.0,,2015-07-23 14:51:00,2017-12-02 13:27:00
9248,Austin,Single-Family Home,3754.0,2007.0,2013-11-16 00:00:00,2017-03-11 14:59:00
9278,Austin,Single-Family Home,3015.0,2009.0,2014-04-09 00:00:00,2017-09-15 07:59:00
9451,Austin,Single-Family Home,2710.0,2008.0,2012-05-02 06:00:00,2013-07-11 05:59:00
9509,Austin,Single-Family Home,2324.0,2007.0,2012-05-03 00:00:00,2014-02-05 23:59:00
9631,Austin,Single-Family Home,1544.0,2008.0,2012-05-16 00:00:00,2017-10-28 07:59:00
9647,Austin,Single-Family Home,2887.0,2001.0,2013-10-29 00:00:00,2017-12-02 08:59:00
9729,Austin,Single-Family Home,2196.0,2008.0,2012-10-23 00:00:00,2017-11-13 12:59:00
9737,Austin,Single-Family Home,5231.0,2001.0,2012-08-31 00:00:00,2017-12-02 10:59:00
9932,Austin,Single-Family Home,2177.0,1998.0,2014-05-31 05:00:00,2017-12-02 10:59:00
9935,Austin,Single-Family Home,4447.0,1997.0,2014-08-29 05:00:00,2017-12-02 06:59:00
9937,Austin,Single-Family Home,1923.0,1963.0,2012-10-31 00:00:00,2017-12-02 12:59:00
9939,Austin,Single-Family Home,1440.0,1951.0,2012-12-18 00:00:00,2017-12-02 11:59:00
9942,Austin,Single-Family Home,2050.0,1915.0,2013-09-15 00:00:00,2017-03-03 08:59:00
9971,Austin,Single-Family Home,2938.0,2009.0,2014-02-06 00:00:00,2017-12-02 11:31:00
9982,Austin,Single-Family Home,1422.0,2008.0,2012-10-24 13:52:00,2017-11-13 10:59:00
